branch_code,name,code,description,address,collection_day,collection_schedule
b15,4.69 Kakap,4.69,,Kakap,Selasa,
b14,4.7 Bambu Kuning,4.7,,Bambu Kuning,Senin,
b14,4.70 Bulak Turi,4.70,,Bulak Turi,Selasa,
b14,4.71 Kelapa Dua,4.71,,Kelapa Dua,Rabu,
b14,4.72 Malaka Bulak,4.72,,Malaka Bulak,Senin,
b14,4.73 Kelapa Dua,4.73,,Kelapa Dua,Senin,
b14,4.74 Pasar Pagi,4.74,,Pasar Pagi,Rabu,
b14,4.75 Rawa Malang,4.75,,Rawa Malang,Senin,
b14,4.76 Sutim,4.76,,Sutim,Senin,
b14,4.77 Pelelangan,4.77,,Pelelangan,Selasa,
b14,4.78 Rorotan,4.78,,Rorotan,Senin,
b14,4.79 Karang Tengah,4.79,,Karang Tengah,Senin,
b14,4.80 Empang,4.80,,Empang,Selasa,
b14,4.81 Ruscil,4.81,,Ruscil,Rabu,
b14,4.82 Sarang Bango,4.82,,Sarang Bango,Selasa,
b14,4.83 Bulak Turi,4.83,,Bulak Turi,Selasa,
b14,4.84 Bulak Cabe,4.84,,Bulak Cabe,Rabu,
b14,4.85 RW 02,4.85,,RW 02,Rabu,
b14,4.86 Buntu,4.86,,Buntu,Rabu,
b14,4.87 Manunggal,4.87,,Manunggal,Selasa,
b14,4.88 Kakap,4.88,,Kakap,Selasa,
b14,4.89 Karang Tengah,4.89,,Karang Tengah,Senin,
b14,4.90 Rengas,4.90,,Rengas,Senin,
b14,4.91 Kampung Bali,4.91,,Kampung Bali,Kamis,
b15,5.1 Kosambi,5.1,,Kosambi,Rabu,
b15,5.10 Semprotan,5.10,,Semprotan,Rabu,
b15,5.11 Belah Kapal,5.11,,Belah Kapal,Kamis,
b15,5.12 Grandong,5.12,,Grandong,Kamis,
b15,5.13 Sate,5.13,,Sate,Selasa,
b15,5.15 Reformasi,5.15,,Reformasi,Selasa,
b15,5.16 Dewa Kembar,5.16,,Dewa Kembar,Rabu,
b15,5.17 Bakti,5.17,,Bakti,Kamis,
b15,5.18 Merin,5.18,,Merin,Selasa,
b15,5.19 Bebek,5.19,,Bebek,Selasa,
b15,5.2 RW 02,5.2,,RW 02,Selasa,
b15,5.21 Melintang,5.21,,Melintang,Rabu,
b15,5.22 Manggis,5.22,,Manggis,Kamis,
b15,5.24 Tanah Merdeka,5.24,,Tanah Merdeka,Senin,
b15,5.25 Semprotan,5.25,,Semprotan,Senin,
b15,5.26 Kebantenan,5.26,,Kebantenan,Senin,
b15,5.27 Semprotan,5.27,,Semprotan,Rabu,
b15,5.28 Rawa Malang,5.28,,Rawa Malang,Kamis,
b15,5.29 Tanah Merdeka,5.29,,Tanah Merdeka,Senin,
b15,5.3 Manunggal,5.3,,Manunggal,Kamis,
b15,5.30 Korma,5.30,,Korma,Senin,
b15,5.31 Semprotan,5.31,,Semprotan,Selasa,
b15,5.32 Al-Alam,5.32,,Al-Alam,Rabu,
b15,5.33 Pelelangan,5.33,,Pelelangan,Kamis,
b15,5.34 Irnuf,5.34,,Irnuf,Selasa,
b15,5.35 BS,5.35,,BS,Rabu,
